
=== THE LADDER, PER CANDIDATE (500 runs/cell, COMPETENT shipped kit) ===

-- BASELINE (shipped)
encounter              lvl    win  rounds  HP-left  low-water  near-death  denial   dmg/T  breaks    PA
karen                   3  98.4%    4.00    73.0%      62.3%        2.6%   31.2%   15.96    0.34  0.90
karen                   4  99.8%    3.91    76.4%      66.9%        0.6%   32.9%   14.47    0.31  0.92
chad                    5  99.6%    4.45    64.1%      59.0%        5.8%   40.9%   17.13    0.55  0.72
chad                    6  100.0%    3.51    89.2%      89.2%        0.0%   62.2%    6.82    0.52  0.91
grandma                 7  99.8%    6.35    85.4%      78.2%        2.8%   22.3%    6.86    0.80  2.27
grandma                 8  100.0%    5.90    89.3%      89.3%        0.0%   24.9%    4.03    0.70  2.02
restructuring_trio      7  99.8%    6.23    57.6%      44.9%       10.8%    8.7%   10.98    0.33  1.36
restructuring_trio      8  99.8%    5.86    58.3%      50.8%        3.8%    6.4%   10.56    0.17  1.49
meredith_boss           8  99.6%    8.01    73.1%      69.9%        2.6%   38.4%    9.05    0.29  2.28
meredith_boss           9  100.0%    7.21    81.2%      80.1%        1.2%   42.3%    6.71    0.10  2.19
regional_director      10  100.0%    4.20    75.8%      75.4%        0.0%   32.7%   16.05    0.52  1.90
algorithm              10  100.0%    6.25    79.9%      78.9%        0.6%   25.0%    8.43    0.64  3.27

-- A15  THE PROPOSAL + boss ability power x1.15  [the brief's premise, priced]
encounter              lvl    win  rounds  HP-left  low-water  near-death  denial   dmg/T  breaks    PA
karen                   3  90.2%    5.58    70.8%      51.5%       15.4%   21.1%   24.18    0.07  0.56
karen                   4  96.6%    4.42    73.5%      60.8%        6.2%   26.5%   21.12    0.05  0.23
chad                    5  90.6%    8.81    56.3%      32.1%       44.2%   18.9%   30.15    0.30  0.21
chad                    6  99.8%    4.35    69.5%      66.6%        6.6%   39.8%   20.36    0.34  0.34
grandma                 7  94.0%    8.99    67.7%      49.1%       22.2%   11.6%   16.60    0.92  1.73
grandma                 8  94.2%    7.06    71.2%      58.2%       16.0%   13.8%   16.10    0.86  1.43
restructuring_trio      7  98.4%    7.42    58.1%      34.4%       30.6%    5.6%   14.70    0.45  0.53
restructuring_trio      8  99.2%    7.54    57.6%      36.2%       25.4%    4.1%   14.26    0.24  0.49
meredith_boss           8  83.0%   12.31    60.8%      35.9%       39.8%   17.0%   23.60    0.20  1.65
meredith_boss           9  94.2%    9.65    62.1%      46.2%       26.4%   21.3%   20.67    0.17  1.69
regional_director      10  99.4%    5.67    62.5%      50.7%       14.4%   21.8%   27.32    0.02  1.06
algorithm              10  98.2%    7.29    66.9%      58.4%       14.4%   19.9%   15.48    0.67  2.43
