
=== THE LADDER, PER CANDIDATE (600 runs/cell, COMPETENT shipped kit) ===

-- BASELINE (shipped)
encounter              lvl    win  rounds  HP-left  low-water  near-death  denial   dmg/T  breaks    PA
karen                   3  99.5%    3.96    72.6%      63.2%        0.8%   31.8%   15.18    0.36  0.89
karen                   4  99.5%    3.87    76.6%      66.7%        0.8%   32.9%   14.30    0.32  0.92
chad                    5  99.8%    4.30    65.3%      60.3%        5.3%   41.4%   16.58    0.59  0.76
chad                    6  100.0%    3.55    89.2%      89.2%        0.0%   62.1%    6.74    0.50  0.92
grandma                 7  100.0%    6.26    87.0%      80.2%        2.2%   22.9%    6.25    0.83  2.29
grandma                 8  100.0%    5.95    89.7%      89.4%        0.0%   24.2%    4.01    0.70  2.03
restructuring_trio      7  99.7%    6.19    58.8%      45.6%        9.5%    8.5%   10.89    0.40  1.32
restructuring_trio      8  100.0%    6.08    59.0%      49.7%        3.8%    7.7%   10.51    0.16  1.44
meredith_boss           8  98.7%    8.10    73.9%      68.8%        4.5%   38.1%    9.43    0.29  2.29
meredith_boss           9  99.7%    7.31    81.3%      79.3%        2.8%   41.8%    7.10    0.10  2.20
regional_director      10  100.0%    4.22    75.7%      75.2%        0.2%   32.3%   16.06    0.55  1.92
algorithm              10  100.0%    6.11    81.4%      80.2%        0.8%   25.2%    8.22    0.68  3.29

-- E3  ESCALATION RESPONSE: escalateAfterDenial 0.85 on every boss   [EnemyAI.js rows. Fires only on a turn the player took away.]
encounter              lvl    win  rounds  HP-left  low-water  near-death  denial   dmg/T  breaks    PA
karen                   3  98.7%    3.99    73.1%      62.8%        2.2%   31.6%   15.60    0.35  0.88
karen                   4  99.8%    3.88    75.9%      66.7%        0.7%   34.0%   13.92    0.31  0.94
chad                    5  100.0%    4.29    63.4%      59.4%        4.8%   42.0%   16.86    0.54  0.76
chad                    6  100.0%    3.48    88.2%      88.2%        0.0%   61.5%    7.61    0.51  0.90
grandma                 7  99.2%    6.42    78.3%      70.1%        4.0%   22.5%    9.98    0.68  2.24
grandma                 8  100.0%    5.91    80.7%      79.5%        0.3%   25.9%    8.02    0.56  2.00
restructuring_trio      7  99.5%    6.18    59.7%      45.1%        9.3%    9.1%   10.89    0.36  1.37
restructuring_trio      8  100.0%    6.32    59.6%      47.4%        6.7%    7.9%   11.08    0.16  1.42
meredith_boss           8  98.5%    7.97    70.3%      66.0%        5.7%   38.4%   11.46    0.25  2.40
meredith_boss           9  99.3%    7.45    72.5%      69.0%        4.5%   37.3%   10.92    0.23  2.18
regional_director      10  100.0%    4.51    74.2%      73.7%        0.3%   39.5%   15.73    0.38  1.89
algorithm              10  99.8%    6.23    79.3%      77.0%        2.0%   29.3%    9.46    0.62  3.37

-- P8  *** THE PROPOSAL ***  = E3 + B3 + F1(52) + C1   [Escalation Response + DENIAL_LIMIT 1 + Press Advantage 52 + Coffee 60.]
encounter              lvl    win  rounds  HP-left  low-water  near-death  denial   dmg/T  breaks    PA
karen                   3  94.2%    5.22    70.6%      55.7%       10.3%   21.9%   21.49    0.07  0.56
karen                   4  98.0%    4.25    75.3%      64.2%        3.7%   28.1%   18.36    0.00  0.24
chad                    5  98.3%    6.03    58.8%      43.0%       17.7%   25.7%   22.52    0.32  0.28
chad                    6  99.7%    4.05    75.0%      73.5%        2.2%   44.2%   15.86    0.35  0.38
grandma                 7  96.3%    8.04    72.2%      57.7%       11.3%   17.3%   12.96    0.69  1.84
grandma                 8  98.5%    7.15    77.5%      70.4%        4.5%   19.3%   10.63    0.60  1.61
restructuring_trio      7  99.8%    6.87    58.8%      40.2%       16.5%    4.6%   12.64    0.45  0.69
restructuring_trio      8  100.0%    7.00    58.0%      42.6%       11.2%    3.4%   12.17    0.16  0.77
meredith_boss           8  90.0%   13.14    60.3%      40.5%       32.5%   19.3%   20.33    0.09  1.75
meredith_boss           9  96.3%    9.90    62.2%      49.3%       20.8%   24.5%   17.12    0.08  1.79
regional_director      10  99.5%    5.57    66.2%      55.5%        7.5%   23.7%   23.59    0.01  1.14
algorithm              10  98.8%    7.02    69.1%      63.1%        9.5%   21.3%   13.74    0.71  2.53
