
=== THE LADDER, PER CANDIDATE (600 runs/cell, COMPETENT shipped kit) ===

-- BASELINE (shipped)
encounter              lvl    win  rounds  HP-left  low-water  near-death  denial   dmg/T  breaks    PA
karen                   3  99.5%    3.97    72.9%      63.3%        1.2%   31.6%   15.44    0.34  0.89
karen                   4  100.0%    3.88    76.8%      67.0%        0.0%   33.7%   13.87    0.31  0.91
chad                    5  100.0%    4.22    65.1%      61.6%        4.2%   42.0%   16.00    0.56  0.80
chad                    6  100.0%    3.52    89.8%      89.8%        0.0%   61.9%    6.46    0.55  0.90
grandma                 7  100.0%    6.24    86.1%      79.6%        1.2%   22.5%    6.64    0.80  2.24
grandma                 8  100.0%    5.95    89.3%      89.0%        0.2%   24.0%    4.21    0.71  2.04
restructuring_trio      7  100.0%    6.17    59.0%      45.7%       12.0%    8.0%   10.98    0.39  1.35
restructuring_trio      8  100.0%    6.25    57.5%      48.9%        4.8%    8.2%   10.62    0.17  1.44
meredith_boss           8  99.5%    8.13    73.7%      69.7%        4.3%   37.8%    9.78    0.29  2.31
meredith_boss           9  100.0%    7.28    80.5%      79.3%        2.0%   41.7%    7.00    0.12  2.18
regional_director      10  100.0%    4.21    75.6%      75.2%        0.0%   32.5%   16.17    0.51  1.90
algorithm              10  100.0%    6.24    80.8%      79.5%        0.3%   25.0%    8.22    0.67  3.29

-- P8  *** THE PROPOSAL ***  = E3 + B3 + F1(52) + C1   [Escalation Response + DENIAL_LIMIT 1 + Press Advantage 52 + Coffee 60.]
encounter              lvl    win  rounds  HP-left  low-water  near-death  denial   dmg/T  breaks    PA
karen                   3  95.3%    5.32    71.2%      56.1%        8.5%   21.5%   21.28    0.05  0.58
karen                   4  99.0%    4.29    75.4%      64.2%        3.7%   28.4%   18.26    0.01  0.25
chad                    5  98.0%    6.02    58.6%      42.6%       19.3%   25.9%   22.51    0.30  0.24
chad                    6  100.0%    4.03    74.3%      73.4%        1.5%   44.1%   15.02    0.32  0.41
grandma                 7  97.7%    8.13    72.1%      58.7%       10.5%   16.3%   12.44    0.73  1.86
grandma                 8  99.0%    7.06    77.3%      70.8%        3.7%   19.6%   10.41    0.62  1.60
restructuring_trio      7  99.5%    6.83    58.7%      40.2%       16.8%    4.4%   12.57    0.44  0.70
restructuring_trio      8  99.7%    6.95    59.4%      42.6%       11.3%    3.1%   12.29    0.23  0.74
meredith_boss           8  88.3%   13.31    60.3%      39.0%       35.3%   19.3%   20.91    0.10  1.78
meredith_boss           9  94.7%   10.17    62.6%      48.2%       26.7%   24.8%   17.43    0.07  1.79
regional_director      10  100.0%    5.55    66.7%      56.4%        4.5%   23.7%   23.38    0.01  1.14
algorithm              10  100.0%    7.17    71.4%      67.5%        5.7%   20.6%   11.26    0.67  2.48

-- P10  THE PROPOSAL WITHOUT F1  = E3 + B3 + C1   [What cutting Press Advantage actually gives back, measured.]
encounter              lvl    win  rounds  HP-left  low-water  near-death  denial   dmg/T  breaks    PA
karen                   3  97.0%    4.34    73.5%      59.8%        5.3%   22.9%   19.82    0.04  0.78
karen                   4  98.8%    3.88    75.5%      65.9%        2.3%   26.1%   17.52    0.00  0.84
chad                    5  98.3%    5.20    62.3%      51.4%       14.7%   29.5%   20.58    0.31  0.56
chad                    6  100.0%    3.60    77.7%      77.3%        0.2%   44.5%   14.36    0.30  0.88
grandma                 7  97.2%    6.95    74.1%      61.8%        8.0%   18.2%   12.63    0.67  2.23
grandma                 8  99.7%    5.97    81.7%      77.8%        1.5%   20.0%    9.17    0.52  2.00
restructuring_trio      7  99.3%    6.34    58.7%      42.5%       13.2%    3.7%   12.35    0.31  1.29
restructuring_trio      8  99.7%    6.33    59.9%      47.0%        8.0%    3.5%   11.83    0.14  1.34
meredith_boss           8  93.0%   10.63    64.0%      45.5%       25.7%   22.1%   18.86    0.06  2.44
meredith_boss           9  95.2%    9.37    64.2%      49.4%       23.0%   25.1%   17.84    0.10  2.25
regional_director      10  100.0%    4.79    68.5%      63.6%        4.0%   26.8%   21.51    0.01  1.84
algorithm              10  99.5%    6.60    74.7%      71.7%        4.0%   21.0%   11.10    0.67  3.19
