
=== THE LADDER, PER CANDIDATE (600 runs/cell, COMPETENT shipped kit) ===

-- BASELINE (shipped)
encounter              lvl    win  rounds  HP-left  low-water  near-death  denial   dmg/T  breaks    PA
karen                   3  99.0%    3.91    72.8%      63.0%        1.5%   31.6%   15.08    0.35  0.89
karen                   4  99.5%    3.85    76.3%      66.9%        0.5%   32.9%   14.27    0.31  0.90
chad                    5  99.7%    4.24    64.8%      61.3%        4.8%   41.3%   16.49    0.58  0.78
chad                    6  100.0%    3.47    89.9%      89.9%        0.0%   61.4%    6.48    0.55  0.88
grandma                 7  99.7%    6.35    87.5%      79.2%        2.7%   23.0%    6.46    0.80  2.29
grandma                 8  100.0%    5.89    90.7%      90.5%        0.0%   24.9%    3.58    0.68  2.02
restructuring_trio      7  99.8%    6.00    58.6%      47.0%        9.8%    7.9%   10.66    0.38  1.43
restructuring_trio      8  100.0%    6.04    59.0%      50.1%        4.0%    7.5%   10.58    0.17  1.47
meredith_boss           8  99.0%    7.95    74.5%      70.8%        2.8%   38.4%    8.87    0.28  2.30
meredith_boss           9  100.0%    6.98    82.1%      80.9%        1.8%   41.5%    6.48    0.13  2.15
regional_director      10  100.0%    4.20    76.0%      75.7%        0.0%   32.7%   15.87    0.53  1.91
algorithm              10  100.0%    6.16    81.2%      80.1%        1.0%   25.2%    8.21    0.64  3.25

-- P9  THE PROPOSAL  = E3 + B3 + F1(48) + C1
encounter              lvl    win  rounds  HP-left  low-water  near-death  denial   dmg/T  breaks    PA
karen                   3  96.7%    4.56    74.3%      58.9%        7.3%   21.9%   21.08    0.04  0.65
karen                   4  98.7%    4.07    75.9%      65.4%        2.5%   24.9%   18.67    0.00  0.73
chad                    5  98.7%    5.84    59.9%      44.4%       17.2%   25.8%   22.19    0.32  0.32
chad                    6  100.0%    3.96    75.9%      74.7%        2.0%   44.5%   14.51    0.34  0.41
grandma                 7  99.0%    7.42    78.2%      67.1%        5.5%   18.2%    9.69    0.69  2.01
grandma                 8  99.5%    6.67    82.3%      78.0%        2.0%   20.1%    7.89    0.58  1.71
restructuring_trio      7  99.8%    6.45    59.5%      42.8%       11.7%    4.2%   12.10    0.42  0.90
restructuring_trio      8  99.8%    6.63    58.4%      44.2%        8.8%    3.0%   11.86    0.19  0.90
meredith_boss           8  91.3%   12.85    59.4%      37.1%       35.3%   19.8%   19.12    0.11  1.82
meredith_boss           9  98.2%    9.33    59.9%      50.7%       13.8%   27.3%   14.73    0.05  1.89
regional_director      10  100.0%    4.58    71.0%      68.2%        0.2%   30.8%   19.23    0.00  1.48
algorithm              10  99.0%    6.80    69.6%      63.3%        9.2%   20.9%   14.49    0.66  2.67
