
=== THE LADDER, PER CANDIDATE (400 runs/cell, COMPETENT shipped kit) ===

-- BASELINE (shipped)
encounter              lvl    win  rounds  HP-left  low-water  near-death  denial   dmg/T  breaks    PA
karen                   3  100.0%    3.94    72.4%      63.5%        0.8%   31.4%   15.14    0.36  0.90
karen                   4  100.0%    3.84    76.4%      67.3%        0.3%   34.6%   13.62    0.26  0.92
chad                    5  99.8%    4.58    65.4%      59.4%        7.2%   40.1%   17.13    0.53  0.72
chad                    6  100.0%    3.48    88.8%      88.8%        0.0%   61.8%    7.16    0.56  0.89
grandma                 7  100.0%    6.27    86.8%      79.6%        1.3%   22.5%    6.28    0.81  2.32
grandma                 8  100.0%    5.95    89.8%      89.6%        0.3%   23.6%    3.96    0.71  2.02
restructuring_trio      7  99.8%    6.11    59.9%      46.2%       10.3%    7.8%   10.86    0.38  1.36
restructuring_trio      8  100.0%    6.12    58.2%      48.9%        6.5%    7.7%   10.73    0.15  1.48
meredith_boss           8  99.8%    8.25    73.4%      69.1%        3.8%   37.8%    9.01    0.28  2.30
meredith_boss           9  99.8%    7.28    80.7%      79.1%        3.3%   41.8%    7.31    0.11  2.18
regional_director      10  100.0%    4.24    75.5%      75.1%        0.0%   31.7%   16.12    0.56  1.91
algorithm              10  100.0%    6.24    81.0%      79.6%        1.3%   25.6%    8.22    0.62  3.28

-- E1  aggression floor: preferAttack authored on the flabby bosses   [EnemyAI.js rows. Also repairs strategic's degraded-to-random fallback.]
encounter              lvl    win  rounds  HP-left  low-water  near-death  denial   dmg/T  breaks    PA
karen                   3  99.0%    3.93    73.3%      63.2%        1.3%   31.1%   15.38    0.33  0.89
karen                   4  99.3%    3.89    77.0%      66.8%        0.8%   32.6%   14.37    0.28  0.92
chad                    5  100.0%    4.23    65.0%      61.5%        5.0%   41.9%   16.01    0.54  0.76
chad                    6  100.0%    3.50    88.8%      88.8%        0.0%   61.5%    7.10    0.54  0.89
grandma                 7  98.0%    7.01    78.7%      66.2%        7.5%   23.9%   12.17    0.64  2.26
grandma                 8  99.3%    6.18    82.4%      80.0%        2.8%   26.7%    8.16    0.52  2.03
restructuring_trio      7  99.5%    6.50    56.8%      40.4%       15.3%    8.1%   12.20    0.49  1.08
restructuring_trio      8  100.0%    6.27    56.8%      45.2%        6.0%    7.3%   11.86    0.20  1.17
meredith_boss           8  97.3%    8.61    68.4%      60.9%        8.5%   38.3%   13.09    0.23  2.24
meredith_boss           9  99.3%    7.83    74.8%      71.9%        5.3%   42.4%   10.26    0.09  2.27
regional_director      10  100.0%    4.23    75.7%      75.2%        0.0%   32.4%   16.03    0.54  1.91
algorithm              10  99.5%    6.61    72.4%      69.4%        5.3%   28.4%   11.76    0.42  3.38

-- B3  DENIAL_LIMIT 2 -> 1   [COMBAT_DEPTH constant. Known risk: a seal also freezes Composure.]
encounter              lvl    win  rounds  HP-left  low-water  near-death  denial   dmg/T  breaks    PA
karen                   3  98.8%    4.00    72.9%      60.9%        4.0%   23.9%   18.64    0.04  0.76
karen                   4  99.3%    3.92    75.2%      65.4%        3.0%   25.9%   17.65    0.00  0.85
chad                    5  98.5%    4.69    63.2%      53.4%       12.0%   31.0%   19.34    0.34  0.57
chad                    6  100.0%    3.50    82.2%      82.1%        0.0%   43.6%   11.31    0.31  0.91
grandma                 7  99.5%    6.43    85.5%      77.4%        3.0%   19.0%    7.39    0.61  2.27
grandma                 8  100.0%    6.00    87.9%      87.2%        0.8%   21.3%    4.98    0.54  2.06
restructuring_trio      7  100.0%    6.21    61.5%      43.8%        9.8%    7.6%   11.14    0.28  1.40
restructuring_trio      8  100.0%    6.05    60.6%      48.2%        7.5%    5.4%   11.13    0.13  1.45
meredith_boss           8  98.8%    8.85    67.4%      59.4%       10.8%   29.6%   13.12    0.01  2.43
meredith_boss           9  98.8%    7.66    70.9%      66.0%        7.8%   27.2%   12.78    0.00  2.23
regional_director      10  100.0%    4.18    74.0%      73.2%        0.0%   32.0%   17.75    0.00  1.87
algorithm              10  100.0%    6.15    77.7%      75.4%        3.0%   21.3%   10.17    0.64  3.13

-- B2  two locks on the haymakers (p>=34 -> p>=26)   [balance.json enemyAbilities lockCount. Solo Andrew gets one tagged hit a turn.]
encounter              lvl    win  rounds  HP-left  low-water  near-death  denial   dmg/T  breaks    PA
karen                   3  99.5%    4.03    74.6%      63.1%        1.0%   29.8%   15.96    0.37  0.89
karen                   4  99.5%    3.85    76.9%      67.0%        0.8%   33.3%   14.09    0.29  0.92
chad                    5  99.0%    4.38    64.3%      59.5%        7.0%   40.6%   17.23    0.51  0.74
chad                    6  100.0%    3.50    89.3%      89.3%        0.0%   62.0%    6.83    0.54  0.89
grandma                 7  99.0%    6.63    77.9%      68.5%        5.3%   14.4%   10.38    0.88  2.33
grandma                 8  100.0%    5.49    84.2%      83.4%        0.3%   16.8%    7.21    0.84  1.96
restructuring_trio      7  99.8%    6.00    57.8%      46.7%        6.5%    7.6%   10.77    0.34  1.31
restructuring_trio      8  99.8%    6.10    58.8%      50.1%        4.5%    7.4%   10.38    0.18  1.50
meredith_boss           8  99.3%    7.58    74.5%      70.9%        2.5%   37.2%    9.26    0.40  2.22
meredith_boss           9  99.0%    6.99    80.2%      78.0%        2.3%   39.1%    7.82    0.33  2.22
regional_director      10  100.0%    4.25    75.1%      74.2%        0.5%   31.6%   16.65    0.58  1.92
algorithm              10  100.0%    6.03    79.8%      78.3%        2.3%   21.7%    8.98    0.70  3.24

