
=== THE LADDER, PER CANDIDATE (250 runs/cell, COMPETENT shipped kit) ===

-- BASELINE (shipped)
encounter              lvl    win  rounds  HP-left  denial   dmg/T
karen                   3  99.2%    3.92    73.1%   32.6%   14.62
karen                   4  100.0%    3.82    74.6%   35.1%   13.37
chad                    5  100.0%    4.39    65.5%   40.0%   16.84
chad                    6  100.0%    3.50    89.2%   62.6%    6.88
grandma                 7  99.6%    6.28    86.5%   22.2%    6.72
grandma                 8  100.0%    5.82    90.0%   24.1%    3.98
restructuring_trio      7  100.0%    6.21    58.9%    8.6%   10.64
restructuring_trio      8  100.0%    6.24    57.2%    8.1%   10.49
meredith_boss           8  100.0%    7.99    74.6%   40.3%    8.62
meredith_boss           9  99.6%    7.21    80.7%   40.4%    7.15
regional_director      10  100.0%    4.24    75.0%   32.1%   16.58
algorithm              10  100.0%    6.02    81.7%   24.1%    8.25

-- A1  boss ability power x1.20   [balance.json enemyAbilities block. The brief's "cheapest lever".]
encounter              lvl    win  rounds  HP-left  denial   dmg/T
karen                   3  98.4%    4.19    70.9%   30.2%   17.93
karen                   4  98.4%    4.16    74.2%   29.1%   18.36
chad                    5  96.0%    5.46    61.3%   31.9%   24.66
chad                    6  100.0%    3.47    87.8%   60.5%    7.81
grandma                 7  98.0%    6.62    75.1%   13.1%   12.85
grandma                 8  99.6%    5.93    80.0%   16.0%    9.31
restructuring_trio      7  99.6%    6.71    57.4%    9.2%   13.00
restructuring_trio      8  99.2%    6.91    56.2%    8.5%   13.17
meredith_boss           8  98.0%    7.83    70.9%   36.7%   11.66
meredith_boss           9  99.2%    7.22    77.9%   37.9%    9.86
regional_director      10  100.0%    4.28    72.0%   30.8%   19.44
algorithm              10  99.6%    6.06    80.0%   21.5%    9.48

-- A2  boss ability power x1.35
encounter              lvl    win  rounds  HP-left  denial   dmg/T
karen                   3  68.8%    6.60    64.2%    3.0%   34.03
karen                   4  53.2%    7.68    55.6%    1.2%   40.26
chad                    5  78.0%   12.19    57.2%   20.0%   33.45
chad                    6  96.4%    5.64    69.6%   39.8%   19.76
grandma                 7  94.8%    6.25    75.9%   15.3%   14.24
grandma                 8  99.6%    5.79    79.0%   15.3%   10.22
restructuring_trio      7  93.6%    8.09    57.0%    9.7%   14.94
restructuring_trio      8  97.6%    8.00    55.2%   11.5%   13.80
meredith_boss           8  94.8%    8.54    71.3%   33.6%   14.62
meredith_boss           9  98.8%    6.92    77.5%   38.2%    9.94
