
=== THE BREAK ECONOMY, PER MODE (600 runs/cell, COMPETENT) ===
Floor per boss = max(0.1, 0.6 x the SHIPPED rate for that boss),
derived in this same run so the two halves cannot drift.

-- SHIPPED  (As Shipped)
encounter              lvl  breaks/fight  shipped   floor   verdict
karen                   3          0.36     0.36    0.21   ok
karen                   4          0.35     0.35    0.21   ok
chad                    5          0.55     0.55    0.33   ok
chad                    6          0.56     0.56    0.34   ok
grandma                 7          0.74     0.74    0.45   ok
grandma                 8          0.60     0.60    0.36   ok
restructuring_trio      7          0.44     0.44    0.26   ok
restructuring_trio      8          0.16     0.16    0.10   ok
meredith_boss           8          0.24     0.24    0.14   ok
meredith_boss           9          0.23     0.23    0.14   ok
regional_director      10          0.35     0.35    0.21   ok
algorithm              10          0.69     0.69    0.41   ok

-- HARD  (Hard)
encounter              lvl  breaks/fight  shipped   floor   verdict
karen                   3          0.50     0.36    0.21   ok
karen                   4          0.33     0.35    0.21   ok
chad                    5          0.53     0.55    0.33   ok
chad                    6          0.41     0.56    0.34   ok
grandma                 7          0.56     0.74    0.45   ok
grandma                 8          0.47     0.60    0.36   ok
restructuring_trio      7          0.51     0.44    0.26   ok
restructuring_trio      8          0.27     0.16    0.10   ok
meredith_boss           8          0.13     0.24    0.14   *** UNDER FLOOR — the Break system is being deleted here ***
meredith_boss           9          0.09     0.23    0.14   *** UNDER FLOOR — the Break system is being deleted here ***
regional_director      10          0.37     0.35    0.21   ok
algorithm              10          0.62     0.69    0.41   ok
