
=== THE DIVERSITY BAND ON HARD, ARM P6s3 {"fileRate":2,"assaultSlow":0.06,"seedRecord":3} (600 runs/cell) ===
encounter              lvl   win: lit / comp / audit          band
karen                   3   86.8% / 81.8% / 97.2%    15.3 pp
karen                   4   97.0% / 89.5% / 89.5%     7.5 pp
chad                    5   98.3% / 89.7% / 95.7%     8.7 pp
chad                    6  100.0% / 98.7% /100.0%     1.3 pp
grandma                 7   93.0% / 92.3% / 92.2%     0.8 pp
grandma                 8   96.8% / 98.8% / 97.8%     2.0 pp
restructuring_trio      7   82.3% / 81.7% / 74.8%     7.5 pp
restructuring_trio      8   89.2% / 91.2% / 86.2%     5.0 pp
meredith_boss           8   93.5% / 97.2% / 85.7%    11.5 pp
meredith_boss           9   99.5% / 98.5% / 91.5%     8.0 pp
regional_director      10   99.3% / 87.7% / 92.5%    11.7 pp
algorithm              10   97.8% / 93.8% / 98.0%     4.2 pp
   MAX BAND: 15.3 pp at karen@3
