
=== THE BREAK ECONOMY, PER MODE (400 runs/cell, COMPETENT) ===
Floor per boss = max(0.1, 0.6 x the SHIPPED rate for that boss),
derived in this same run so the two halves cannot drift.

-- SHIPPED  (As Shipped)
encounter              lvl  breaks/fight  shipped   floor   verdict
karen                   3          0.37     0.37    0.22   ok
karen                   4          0.32     0.32    0.19   ok
chad                    5          0.55     0.55    0.33   ok
chad                    6          0.50     0.50    0.30   ok
grandma                 7          0.67     0.67    0.40   ok
grandma                 8          0.56     0.56    0.33   ok
restructuring_trio      7          0.40     0.40    0.24   ok
restructuring_trio      8          0.15     0.15    0.10   ok
meredith_boss           8          0.21     0.21    0.13   ok
meredith_boss           9          0.25     0.25    0.15   ok
regional_director      10          0.28     0.28    0.17   ok
algorithm              10          0.63     0.63    0.38   ok

-- HARD  (Hard)
encounter              lvl  breaks/fight  shipped   floor   verdict
karen                   3          0.52     0.37    0.22   ok
karen                   4          0.35     0.32    0.19   ok
chad                    5          0.53     0.55    0.33   ok
chad                    6          0.43     0.50    0.30   ok
grandma                 7          0.62     0.67    0.40   ok
grandma                 8          0.47     0.56    0.33   ok
restructuring_trio      7          0.44     0.40    0.24   ok
restructuring_trio      8          0.27     0.15    0.10   ok
meredith_boss           8          0.15     0.21    0.13   ok
meredith_boss           9          0.10     0.25    0.15   *** UNDER FLOOR — the Break system is being deleted here ***
regional_director      10          0.34     0.28    0.17   ok
algorithm              10          0.60     0.63    0.38   ok
