
=== EXPLORATION — AUDIT LANE ON HARD, PER ARM (400 runs/cell) ===
Arms are data blocks on DIFFICULTY_MODES.hard.audit; engine unpatched.

-- P4  {"fileRate":2,"assaultSlow":0.04}
encounter              lvl    win  rounds  HP-left  breaks  compW  compOTH  lowW   nearD
karen                   4  78.3%    6.92    59.9%    0.09  37.24     3.54  35.2%  31.3%
chad                    5  86.8%   12.55    58.1%    0.42  25.48    12.59  33.3%  47.5%
grandma                 7  88.3%    7.75    74.5%    0.63  93.80    16.82  52.3%  23.3%
restructuring_trio      7  51.0%   10.55    53.4%    0.75  62.98    22.77   6.3%  98.5%
restructuring_trio      8  70.3%   12.04    53.0%    1.03  85.32    29.23  10.5%  90.0%
meredith_boss           8  80.0%   12.79    59.3%    0.15  45.62    21.80  42.0%  27.8%
regional_director      10  86.3%   11.28    53.3%    0.52  33.55    72.14  17.7%  63.7%

-- P5  {"fileRate":2,"assaultSlow":0.05}
encounter              lvl    win  rounds  HP-left  breaks  compW  compOTH  lowW   nearD
karen                   4  82.5%    7.11    59.4%    0.09  36.16     2.61  36.2%  31.3%
chad                    5  87.5%   12.38    59.0%    0.45  26.75    13.21  33.9%  48.0%
grandma                 7  88.3%    7.05    75.9%    0.61  95.17    14.64  54.9%  18.0%
restructuring_trio      7  52.0%   10.54    53.4%    0.75  63.21    22.83   6.5%  97.0%
restructuring_trio      8  71.5%   11.93    52.7%    1.11  87.42    31.21  11.2%  90.3%
meredith_boss           8  85.3%   12.95    58.6%    0.18  50.52    19.77  42.6%  24.5%
regional_director      10  87.0%   11.23    54.7%    0.56  34.98    72.78  18.2%  63.5%

-- P6  {"fileRate":2,"assaultSlow":0.06}
encounter              lvl    win  rounds  HP-left  breaks  compW  compOTH  lowW   nearD
karen                   4  81.3%    7.51    59.9%    0.09  37.13     3.39  36.0%  30.3%
chad                    5  91.5%   12.01    57.8%    0.46  28.68    11.96  35.2%  43.8%
grandma                 7  90.3%    7.51    76.6%    0.64  96.11    15.54  55.9%  18.0%
restructuring_trio      7  55.8%   10.80    52.8%    0.77  64.31    24.34   7.1%  97.5%
restructuring_trio      8  74.3%   12.13    54.3%    1.11  88.14    32.79  11.4%  91.8%
meredith_boss           8  87.0%   13.57    57.8%    0.18  50.34    22.96  41.7%  24.8%
regional_director      10  93.0%   10.98    54.4%    0.61  42.84    65.82  19.0%  73.0%

-- P3_6  {"fileRate":3,"assaultSlow":0.06}
encounter              lvl    win  rounds  HP-left  breaks  compW  compOTH  lowW   nearD
karen                   4  89.0%    6.54    58.9%    0.11  39.59     2.49  44.5%  17.5%
chad                    5  90.0%   10.72    57.8%    0.49  26.39    17.30  33.6%  44.0%
grandma                 7  87.8%    6.88    77.2%    0.59  91.88    13.38  54.2%  21.0%
restructuring_trio      7  53.5%   10.51    56.3%    0.83  63.08    28.30   7.4%  96.3%
restructuring_trio      8  76.0%   11.96    55.7%    1.19  87.17    38.43  12.4%  87.8%
meredith_boss           8  78.8%   17.48    56.8%    0.25  42.47    30.87  33.9%  41.0%
regional_director      10  95.8%    7.58    51.3%    0.89  76.42    49.47  30.9%  35.3%
