
=== EXPLORATION — AUDIT LANE ON HARD, PER ARM (400 runs/cell) ===
Arms are data blocks on DIFFICULTY_MODES.hard.audit; engine unpatched.

-- P6s5  {"fileRate":2,"assaultSlow":0.06,"seedRecord":5}
encounter              lvl    win  rounds  HP-left  breaks  compW  compOTH  lowW   nearD
karen                   4  94.0%    5.80    61.3%    0.08  38.69     3.19  50.6%  15.8%
chad                    5  97.8%    6.98    60.3%    0.41  29.86     8.23  45.7%  23.3%
grandma                 7  93.3%    7.33    74.3%    0.66  98.63    16.62  59.0%  13.3%
restructuring_trio      7  78.8%   12.71    53.6%    1.15  92.78    34.78  12.2%  89.0%
restructuring_trio      8  91.5%   13.42    54.0%    1.29  102.93    44.51  17.0%  81.0%
meredith_boss           8  88.5%   13.82    58.3%    0.19  49.63    21.93  43.8%  24.5%
regional_director      10  93.0%   10.38    54.6%    0.75  48.08    64.42  17.8%  85.0%

-- P5s3  {"fileRate":2,"assaultSlow":0.05,"seedRecord":3}
encounter              lvl    win  rounds  HP-left  breaks  compW  compOTH  lowW   nearD
karen                   4  87.5%    6.51    59.7%    0.12  37.89     2.70  42.9%  22.0%
chad                    5  95.8%    9.29    60.3%    0.49  30.81    10.90  42.5%  30.8%
grandma                 7  89.5%    7.41    74.5%    0.64  98.42    15.00  54.6%  17.5%
restructuring_trio      7  65.5%   11.61    54.2%    1.00  79.97    27.46   9.4%  92.5%
restructuring_trio      8  82.3%   13.00    54.9%    1.15  91.41    40.48  13.6%  88.3%
meredith_boss           8  77.3%   13.86    58.8%    0.16  47.92    22.84  38.2%  33.8%
regional_director      10  88.0%   10.19    53.2%    0.72  50.63    60.84  17.0%  78.0%
